曲名,难度,定数,成绩,潜力值
A Wandering Melody of Love,FTR,9.6,9941721,11.308605
Blocked Library,FTR,9.3,9989040,11.2452
Yosakura Fubuki,FTR,9.4,9963228,11.21614
Lost Emotion feat. nomico,FTR,9.3,9983202,11.21601
Lapis,FTR,9.4,9946444,11.13222
Syro,FTR,9.3,9966274,11.13137
AI[UE]OON,FTR,9.4,9945275,11.126375
IMPACT,FTR,9.6,9903632,11.11816
Avant Raze,FTR,9.6,9881036,11.00518
Kanagawa Cyber Culvert,FTR,9,9996563,10.982815
Flyburg and Endroll,FTR,9,9984749,10.923745
GOODTEK (Arcaea Edit),FTR,9.3,9918201,10.891005
Can I Friend You on Bassbook? Lol,FTR,9.3,9948456,11.042280000000002
Evoltex (poppi'n mix),FTR,8.9,9987806,10.83903
Vivid Theory,FTR,8.8,10000855,10.8
Antithese,FTR,8.8,10000825,10.8
Give Me a Nightmare,FTR,8.9,9979780,10.7989
Oracle,FTR,9.3,9896988,10.78494
Specta,FTR,9.5,9854920,10.7746
CYCLES,FTR,8.8,9993466,10.76733
Faint Light (Arcaea Edit),FTR,9.1,9932724,10.76362
Anökumene,FTR,9.2,9912592,10.76296
Blaster,FTR,9.3,9891066,10.75533
with U,FTR,9.4,9866673,10.733365000000001
MERLIN,FTR,8.9,9965500,10.7275
CROSS†OVER,FTR,9.4,9863861,10.719305
next to you,FTR,8.8,9976461,10.682305
Life is PIANO,FTR,9.1,9911532,10.65766
Cosmo Pop Funclub,FTR,8.8,9969837,10.649185
Quon,FTR,8.7,9987355,10.636775
Lawless Point,FTR,8.9,9947048,10.63524
Blue Rose,FTR,9.1,9906602,10.633009999999999
Illegal Paradise,FTR,9.5,9826510,10.63255
Chronostasis,FTR,8.9,9946225,10.631125
Senkyou,FTR,8.7,9980128,10.60064
Final Step!,FTR,9.4,9839936,10.599680000000001
To the Milky Way,PRS,8.7,9975096,10.57548
Flashback,FTR,8.8,9954032,10.570160000000001
CROSS†OVER,FTR,9.4,9831891,10.559455
Strongholds,FTR,9.2,9870684,10.55342
STAGER (ALL STAGE CLEAR),FTR,9.5,9831544,10.65772
Lights of Muse,FTR,8.7,9966043,10.530215
DRG,FTR,9.5,9851631,10.758155
Red and Blue,FTR,9.4,9823264,10.51632
False Embellishment,FTR,9.3,9918262,10.89131
Harutopia ~Utopia of Spring~,FTR,8.5,9996285,10.481425
Haze of Autumn,FTR,9.8,9703747,10.479156666666668
Alice's Suitcase,FTR,9.1,9875724,10.47862
Journey,FTR,8.8,9935681,10.478405
Haze of Autumn,FTR,9.8,9699148,10.463826666666668
carmine:scythe,FTR,9.6,9756141,10.453803333333333
Dreamin' Attraction!!,FTR,9.4,9810521,10.452605
Cyaegha,PRS,8.4,10000921,10.4
Silent Rush,FTR,8.6,9958335,10.391675
Gekka (Short Version),FTR,8.6,9957914,10.38957
Alice à la mode,FTR,9.2,9834451,10.372255
Misdeed -la bonté de Dieu et l'origine du mal-,PRS,8.5,9972952,10.36476
GENOCIDER,PRS,8.5,9971678,10.35839
Ignotus,FTR,9.3,9894945,10.774725
Lost Civilization,FTR,9.2,9828399,10.341994999999999
Rabbit In The Black Room,FTR,8.4,9987755,10.338775
Reinvent,FTR,8.5,9965550,10.32775
IZANA,PRS,8.3,10000791,10.3
Bookmaker (2D Version),FTR,8.3,10001067,10.3
Cybernecia Catharsis,FTR,9.5,9736510,10.288366666666667
Teriqma,FTR,9.4,9765867,10.28622333
Chelsea,FTR,8.5,9954413,10.272065
Tie me down gently,FTR,8.3,9993739,10.268695
Dandelion,FTR,8.5,9951949,10.259745
Phantasia,FTR,9.2,9811735,10.258675
Babaroque,FTR,8.5,9951192,10.25596
Purgatorium,FTR,8.4,9970402,10.25201
Shades of Light in a Transcendent Realm,FTR,8.3,9986964,10.234820000000001
REconstruction,FTR,8.4,9964358,10.22179
INTERNET OVERDOSE,FTR,8.4,9962530,10.21265
Jump,FTR,9.0,9840211,10.201055
Oblivia,FTR,8.3,9979967,10.199835
Eccentric Tale,FTR,8.4,9959656,10.19828
Hall of Mirrors,FTR,8.2,9995281,10.176404999999999
Lucifer,FTR,8.2,9995005,10.175025
enchanted love,FTR,8.4,9954554,10.17277
1F√,FTR,8.2,9994089,10.170445
Moonheart,FTR,8.4,9953345,10.166725
Turbocharger,FTR,9,9832308,10.16154
April showers,FTR,8.3,9971928,10.15964
qualia -ideaesthesia-,FTR,9.1,9810114,10.15057
TEmPTaTiON,PRS,8.2,9987680,10.1384
Genesis,FTR,8.2,9986640,10.133199999999999
Snow White,FTR,8.4,9944658,10.12329
Let you DIVE! (nitro rmx),FTR,9.4,9714923,10.11641
INTERNET YAMERO,FTR,9.9,9550866,10.069553333333333
Hikari,FTR,8.1,9993311,10.066555
Rugie,FTR,9.2,9759861,10.066203333333332
PICO-Pico-Translation!,FTR,9.3,9724426,10.048086666666668
Dialnote,FTR,8.1,9986041,10.030204999999999
ENERGY SYNERGY MATRIX,FTR,9.6,9610262,9.96754
blue comet,FTR,8.2,9949170,9.94585
Crimson Throne,PRS,8,9987118,9.93559
world.execute(me);,FTR,8,9971395,9.856975
One Last Drive,FTR,8.2,9910402,9.75201
LunarOrbit -believe in the Espebranch road-,FTR,9.6,9504665,9.615549999999999
Lazy Addiction,FTR,9.6,9472182,9.6
Glow,FTR,9.3,9416626,9.3
BADTEK,FTR,9.7,9334720,9.149066666666666
